,CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,ENTEROC_NMP_100mL,OD_PORC,OD_PORC_SUP,OD_PORC_MED,OD_PORC_FON,TOX_D_48_UT,TOX_V_15_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_FON_15_UT,SEMAFORO
0,DLAGU11,PRESA JOCOQUI 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,RIO SAN PEDRO,PRESA EL JOCOQUI,LENTICO,PRESA,-102.35794,22.12123,2019,8.45,47.4,10.0,3.0,3.0,,,170.5,106.4,50.2,,,1.0,1.0,1.0,1.0,Rojo
1,DLAGU12,PRESA EL JOCOQUI COLA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,RIO SAN PEDRO,PRESA EL JOCOQUI,LENTICO,PRESA,-102.37846,22.1358,2019,17.0,48.52,11.43,10.0,3.0,,,180.0,105.1,48.1,,,1.0,1.0,1.14,1.25,Rojo
2,DLAGU13,PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LENTICO (HUMEDAL),PRESA,-102.41856,22.14165,2019,2.0,12.48,10.0,20.0,3.0,,,117.5,45.4,12.8,,,1.0,1.0,1.0,1.0,Amarillo
3,DLAGU14,PRESA PRESIDENTE CALLES EMBARCADERO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LENTICO (HUMEDAL),PRESA,-102.4263,22.15254,2019,2.0,10.0,10.0,20.0,20.0,,,109.4,50.8,12.6,,,1.0,1.0,1.0,1.0,Amarillo
4,DLAGU15,PRESA PRESIDENTE CALLES TECONGO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LENTICO (HUMEDAL),PRESA,-102.44221,22.13077,2019,2.0,15.81,10.0,31.0,3.0,,,101.7,42.8,14.6,,,1.0,1.0,1.0,1.0,Amarillo
5,DLAGU16,PRESA PRESIDENTE CALLES RIO BLANCO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LENTICO (HUMEDAL),PRESA,-102.44423,22.14564,2019,2.0,17.47,10.0,3.0,3.0,,,111.9,58.4,12.8,,,1.0,1.0,1.0,1.0,Amarillo
6,DLAGU17,PRESA PRESIDENTE CALLES PAREDES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LENTICO (HUMEDAL),PRESA,-102.45887,22.13645,2019,6.46,20.8,10.0,30.0,3.0,,,106.8,45.6,24.8,,,1.0,1.0,1.0,1.0,Amarillo
7,DLAGU18,PRESA 50 ANIVERSARIO CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA 50 ANIVERSARIO,LENTICO,PRESA,-102.4653,22.18899,2019,8.245,31.805,10.0,1541.0,946.5,,,92.05,47.1,12.4,,,1.0,1.0,1.0,1.0,Amarillo
8,DLAGU20,DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ABAJO),LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIAGARA,RIO CHICALOTE,LOTICO,RIO,-102.29445,21.98063,2019,879.0,1142.43,330.0,2419600.0,2419600.0,,10.0,,,,2.452,2.838,,,,,Rojo
9,DLAGU21,DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ARRIBA),LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIAGARA,RIO CHICALOTE,LOTICO,RIO,-102.28905,21.98524,2019,90.275,382.13,105.715,897530.0,200230.0,,13.195,,,,1.709,2.647,,,,,Rojo
10,DLAGU23,PRESA LOS GRINGOS,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,PRESA LOS GRINGOS,LENTICO,PRESA,-102.26814,21.90766,2019,33.0,313.715,138.0,13552.5,13169.0,,,,,10.0,,,1.0,1.0,1.8,1.0,Rojo
11,DLAGU24,PRESA EL CEDAZO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,PRESA EL CEDAZO,LENTICO,PRESA,-102.25658,21.86921,2019,19.695,38.01,25.25,15163.5,8940.5,,,133.1,,120.4,,,1.0,1.0,1.0,1.59,Amarillo
12,DLAGU27M1,RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,Presa El NiAgara,RIO SAN PEDRO,LOTICO (HUMEDAL),RIO,-102.33361,21.84536,2019,99.495,146.06,41.415,133078.0,133078.0,,22.75,,,,1.0,1.0,,,,,Rojo
13,DLAGU28,PRESA EL NIAGARA 3500M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,PRESA EL NIAGARA,LENTICO (HUMEDAL),PRESA,-102.37299,21.81627,2019,65.675,83.505,20.75,24196.0,24196.0,,,53.6,,10.0,,,1.0,1.0,2.47,1.84,Rojo
14,DLAGU29,PRESA EL NIAGARA 2000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,PRESA EL NIAGARA,LENTICO (HUMEDAL),PRESA,-102.37466,21.8007,2019,31.2,83.165,25.75,24196.0,24196.0,,,81.2,,10.0,,,1.0,1.0,1.0,1.0,Rojo
15,DLAGU30,PRESA EL NIAGARA 1000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,PRESA EL NIAGARA,LENTICO (HUMEDAL),PRESA,-102.36799,21.79024,2019,12.5,36.68,13.5,24196.0,24196.0,,,,,10.0,,,1.0,1.0,1.0,1.0,Amarillo
16,DLAGU31,PRESA EL NIAGARA CANAL DE RIEGO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,PRESA EL NIAGARA,LOTICO,CANAL,-102.37381,21.77918,2019,17.8,53.305,15.495,14835.5,11309.0,,10.0,,,,1.0,1.0,,,,,Rojo
17,DLAGU32M1,HIDRANTE PARCELARII DISTRITO DE RIEGO 001 PABELLON,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,PABELLON DE ARTEAGA,RIO SAN PEDRO,PRESA PRESIDENTE CALLES,LENTICO,SISTEMA DE RIEGO DE LA PRESA,-102.34201,22.14338,2019,2.815,19.1,10.0,26.495,3.0,,,46.545,,,,,1.0,,1.0,,Verde
18,DLAGU33,RIO SAN PEDRO LAGUNA EL SABINAL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LOTICO,RIO,-102.37363,21.75618,2019,22.275,88.765,24.75,46270.5,10629.5,,71.05,,,,1.0,1.0,,,,,Rojo
19,DLAGU35,RIO SAN PEDRO PUENTE SAN PEDRO CIENEGUILLA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LOTICO,RIO,-102.40724,21.71666,2019,23.6,89.11,72.36,25420.0,10320.0,,58.4,,,,1.0,1.0,,,,,Rojo
20,DLAGU36M1,PRESA LAS MERCEDES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,PRESA EL NIAGARA,PRESA LAS MERCEDES,LENTICO,PRESA,-101.86181,21.99751,2019,7.695,50.505,31.495,2020.0,87.0,,,102.7,,70.85,,,1.0,1.0,1.0,1.0,Rojo
21,DLAGU37M1,RIO SAN PEDRO SUR DEL PARQUE RECREATIVO EL SABINAL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LOTICO,RIO,-102.36757,21.74109,2019,11.81,88.96,31.8,72263.0,52918.0,,54.4,,,,1.0,1.0,,,,,Rojo
22,DLAGU38M1,RIO SAN PEDRO EXHACIENDA AGOSTADERITO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LOTICO,RIO,-102.36137,21.76688,2019,20.05,68.05,118.75,24196.0,1347.5,,83.15,,,,1.0,1.0,,,,,Rojo
23,DLAGU40,PRESA MEDIA LUNA 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RIO JUCHIPILA 1,PRESA MEDIA LUNA,LENTICO (HUMEDAL),PRESA,-102.77811,21.82335,2019,8.6,40.83,10.0,110.0,31.0,,,86.4,60.8,31.6,,,1.0,1.0,1.0,1.0,Rojo
24,DLAGU43,PRESA PE&A BLANCA 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RIO JUCHIPILA 1,PRESA PE&A BLANCA,LENTICO,PRESA,-102.75308,21.90446,2019,9.14,35.26,10.0,20.0,3.0,,,80.6,,45.4,,,1.0,1.0,1.0,1.0,Verde
25,DLAGU45,PRESA ORDE&A VIEJA 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RIO JUCHIPILA 1,PRESA ORDE&A VIEJA,LENTICO,PRESA,-102.72268,21.94775,2019,15.8,54.71,10.0,10.0,10.0,,,72.0,,46.8,,,1.0,1.0,1.0,1.0,Rojo
26,DLAGU46,PRESA LA CODORNIZ 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RIO JUCHIPILA 1,PRESA LA CODORNIZ,LENTICO,PRESA,-102.67545,21.99809,2019,6.44,21.74,30.5,657.0,554.0,,,95.0,,,,,1.0,,1.0,,Verde
27,DLAGU47,PRESA MALPASO 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RIO JUCHIPILA 1,PRESA MALPASO,LENTICO (HUMEDAL),PRESA,-102.65304,21.85799,2019,20.9,96.93,48.0,3.0,3.0,,,196.6,124.1,72.8,,,1.0,1.0,1.0,1.0,Rojo
28,DLAGU48,PRESA MAL PASO COLA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RIO JUCHIPILA 1,PRESA MALPASO,LENTICO (HUMEDAL),PRESA,-102.6479,21.85779,2019,37.0,125.9,54.0,3.0,3.0,,,222.7,,,,,1.0,,1.0,,Rojo
29,DLAGU51M1,PRESA ABELARDO RODRIGUEZ 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIAGARA,PRESA ABELARDO RODRIGUEZ,LENTICO (HUMEDAL),PRESA,-102.4286,21.91633,2019,2.0,33.89,10.0,1401.0,1022.0,,,96.1,,,,,1.0,,1.0,,Amarillo
30,DLAGU52,COLA DE LA PRESA ABELARDO RODRIGUEZ 2000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIAGARA,PRESA ABELARDO RODRIGUEZ,LENTICO (HUMEDAL),PRESA,-102.43485,21.9116,2019,2.0,25.92,10.0,1250.0,1022.0,,,90.4,,58.1,,,1.0,1.0,1.0,1.0,Amarillo
31,DLAGU53,PRESA ABELARDO RODRIGUEZ 1000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIAGARA,PRESA ABELARDO RODRIGUEZ,LENTICO (HUMEDAL),PRESA,-102.4331,21.91555,2019,2.0,37.3,25.0,933.0,3.0,,,93.4,,92.6,,,1.0,1.0,1.0,1.0,Verde
32,DLAGU8,PRESA EL SAUCILLO 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,RIO SAN PEDRO,PRESA EL SAUCILLO,LENTICO,PRESA,-102.33911,22.2473,2019,16.29,109.19,65.31,217.5,155.0,,,151.45,102.4,100.35,,,1.0,1.0,1.0,1.0,Rojo
33,DLBAJ109,MANANTIAL SAN REGIS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,TODOS SANTOS,LOTICO,ARROYO,-110.22379,23.45805,2019,2.0,10.0,11.0,1250.0,161.0,,75.4,,,,1.0,1.0,,,,,Amarillo
34,DLBAJ112,AGUA CALIENTE II,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SANTIAGO,SANTIAGO,LOTICO,ARROYO,-109.80786,23.43995,2019,2.0,14.28,10.0,20.0,3.0,,110.6,,,,1.0,1.0,,,,,Verde
35,DLBAJ120M1,BOCA DE LA SIERRA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSE DEL CABO,SAN JOSE DEL CABO,LOTICO (HUMEDAL),ARROYO,-109.8261,23.39128,2019,2.0,16.8,10.0,31.0,10.0,,104.0,,,,1.0,1.0,,,,,Verde
36,DLBAJ121,HUMEDAL OASIS DE LA SIERRA EL PILAR 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LAS POCITAS-SAN HILARIO,HUMEDAL OASIS DE LA SIERRA EL PILAR 1,LOTICO (HUMEDAL),ARROYO,-110.95153,24.50289,2019,2.0,22.68,10.0,14136.0,1722.0,,71.9,,,,1.0,1.0,,,,,Amarillo
37,DLBAJ123,OASIS DE LA SIERRA EL PILAR 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LAS POCITAS-SAN HILARIO,CUERPO DE AGUA DEL HUMEDAL,LOTICO (HUMEDAL),ARROYO,-111.00268,24.46953,2019,2.0,14.28,10.0,3.0,3.0,,83.3,,,,1.0,1.0,,,,,Verde
38,DLBAJ124,MANANTIAL CADUA&O,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSE DEL CABO,SAN JOSE DEL CABO,LOTICO (HUMEDAL),CANAL,-109.77912,23.337,2019,2.0,10.0,10.0,379.0,113.0,,76.4,,,,1.0,1.0,,,,,Verde
39,DLBAJ126,MANANTIAL SAN BARTOLO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,SAN BARTOLO,SAN BARTOLO,LOTICO,ARROYO,-109.84545,23.73546,2019,2.0,21.0,10.0,578.0,435.0,,94.0,,,,1.0,1.0,,,,,Verde
40,DLBAJ132,HUMEDAL LOS COMONDU 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,HUMEDAL LOS COMONDU 1,LOTICO (HUMEDAL),ARROYO,-111.80531,26.06218,2019,2.0,10.0,10.0,789.0,122.0,,94.6,,,,4.024,1.0,,,,,Verde
41,DLBAJ133,ESTERO EL COYOTE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,SAN IGNACIO,ESTERO,COSTERO (HUMEDAL),ESTERO,-113.46249,26.80955,2019,,,10.0,3.0,,3.0,,94.8,,,,,,,1.0,1.0,Verde
42,DLBAJ135,HUMEDAL LOS COMONDU 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,HUMEDAL LOS COMONDU 2,LOTICO (HUMEDAL),ARROYO,-111.8325,26.03686,2019,2.0,22.68,10.0,158.0,156.0,,90.2,,,,1.0,1.0,,,,,Verde
43,DLBAJ155,RIO MULEGE 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,MULEGE,RIO MULEGE,LOTICO,ARROYO,-111.98679,26.88692,2019,7.04,11.7,10.0,3255.0,10.0,,98.8,,,,1.0,1.0,,,,,Amarillo
44,DLBAJ156,RIO MULEGE 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,MULEGE,RIO MULEGE,LOTICO,ARROYO,-111.98267,26.88867,2019,7.08,21.74,10.0,24196.0,6867.0,,82.1,,,,1.0,1.0,,,,,Amarillo
45,DLBAJ159,"PLAYA SANTA ROSALIA SEG23, 2 ISA8A",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,SANTA AGUEDA,GOLFO DE CALIFORNIA,COSTERO,OCEANO-MAR,-112.26147,27.33785,2019,,,10.0,3.0,,3.0,,94.1,90.7,88.4,,,,,1.0,1.0,Verde
46,DLBAJ160,"PLAYA SANTA ROSALIA SEG23, 1 ISA8A",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,SANTA ROSALIA,GOLFO DE CALIFORNIA,COSTERO,OCEANO-MAR,-112.26933,27.35023,2019,,,15.625,24000.0,,24196.0,,103.1,,,,,,,1.0,1.0,Rojo
47,DLBAJ169,"PLAYA SANTA ROSALIA, EL BOLEO",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,SANTA ROSALIA,GOLFO DE CALIFORNIA,COSTERO,OCEANO-MAR,-112.2933,27.37706,2019,,,10.0,3.0,,3.0,,96.7,,,,,,,1.0,1.0,Verde
48,DLBAJ172,"LA BOCANA SEG18, 2 ISA10B",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,PUNTA EUGENIA,ESTERO,COSTERO,ESTERO,-113.70728,26.7894,2019,,,10.0,3.0,,3.0,,91.8,,,,,,,1.0,1.0,Verde
49,DLBAJ173,"LA BOCANA SEG18, 1 ISA10B",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,PUNTA EUGENIA,ESTERO,COSTERO (HUMEDAL),ESTERO,-113.65367,26.76086,2019,,,10.0,3.0,,3.0,,89.6,,,,,,,1.0,1.0,Verde
50,DLBAJ175,LAGUNA OJO DE LIEBRE 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,SAN LUIS,LAGUNA OJO DE LIEBRE,COSTERO (HUMEDAL),LAGUNA,-114.19292,27.75162,2019,,,10.0,3.0,,3.0,,97.4,,,,,,,1.0,,Verde
51,DLBAJ176,LAGUNA OJO DE LIEBRE 5,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,LAGUNA OJO DE LIEBRE,COSTERO (HUMEDAL),LAGUNA,-114.283,27.76011,2019,,,10.0,3.0,,3.0,,94.1,,91.6,,,,,1.0,1.0,Verde
52,DLBAJ177,LAGUNA OJO DE LIEBRE 3,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,LAGUNA OJO DE LIEBRE,COSTERO (HUMEDAL),LAGUNA,-114.10713,27.6475,2019,,,10.0,3.0,,3.0,,96.7,,,,,,,1.0,,Verde
53,DLBAJ178,LAGUNA OJO DE LIEBRE 6,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,LAGUNA OJO DE LIEBRE,COSTERO (HUMEDAL),LAGUNA,-114.14141,27.68167,2019,,,10.0,3.0,,3.0,,95.2,,92.1,,,,,1.0,1.0,Verde
54,DLBAJ179,LAGUNA OJO DE LIEBRE 7,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,SAN LUIS,LAGUNA OJO DE LIEBRE,COSTERO (HUMEDAL),LAGUNA,-114.2036,27.8463,2019,,,10.0,3.0,,3.0,,94.5,,,,,,,1.0,,Verde
55,DLBAJ180,LAGUNA OJO DE LIEBRE 2 SEG16 ISA10B (DESEMBOCADURA),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,TRANSICION LAGUNA - MAR,COSTERO (HUMEDAL),LAGUNA,-114.27864,27.86918,2019,,,10.0,3.0,,3.0,,97.4,92.6,90.2,,,,,1.0,1.0,Verde
56,DLBAJ181,LAGUNA OJO DE LIEBRE 4,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,EL ARCO,LAGUNA OJO DE LIEBRE,COSTERO (HUMEDAL),LAGUNA,-113.97281,27.74018,2019,,,10.0,3.0,,3.0,,96.8,,,,,,,1.0,,Verde
57,DLBAJ190,HUMEDAL LA SIERRA DE GUADALUPE (VERTIENTE OCCIDENTAL) 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SAN IGNACIO,HUMEDAL LA SIERRA DE GUADALUPE (VERTIENTE OCCIDENTAL) 1,LOTICO (HUMEDAL),ARROYO,-112.50886,26.38214,2019,2.0,24.36,10.0,265.0,3.0,,139.9,,,,1.0,1.0,,,,,Amarillo
58,DLBAJ191M1,DESEMBOCADURA ARROYO LAS CUEVAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SANTIAGO,ARROYO LAS CUEVAS,LOTICO,ARROYO,-109.60857,23.61961,2019,4.3,18.48,10.0,749.0,3.0,,134.9,,,,1.0,1.0,,,,,Amarillo
59,DLBAJ192,RIO SAN IGNACIO - REPRESO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,SAN IGNACIO,RIO SAN IGNACIO,LOTICO,ARROYO,-112.89735,27.29764,2019,8.34,23.41,10.0,161.0,86.0,,110.0,,,,1.0,1.0,,,,,Verde
60,DLBAJ193,RIO LA PURISIMA 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,MEZQUITAL SECO,RIO LA PURISIMA,LOTICO (HUMEDAL),ARROYO,-112.00876,26.2298,2019,2.0,21.0,10.0,317.0,52.0,,102.1,,,,1.0,1.0,,,,,Verde
61,DLBAJ194,RIO LA PURISIMA 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,MEZQUITAL SECO,RIO LA PURISIMA,LOTICO (HUMEDAL),ARROYO,-112.12748,26.15856,2019,2.0,18.48,10.0,189.0,3.0,,120.0,,,,1.0,1.0,,,,,Verde
62,DLBAJ201,FINAL DE ESTERO LA BOCANA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,PUNTA EUGENIA,ESTERO LA BOCANA,COSTERO (HUMEDAL),ESTERO,-113.63021,26.73946,2019,,,10.0,3.0,,3.0,,79.2,,,,,,,1.0,1.0,Verde
63,DLBAJ204,MANANTIAL SAN PEDRITO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,PESCADEROS,PESCADERO,LOTICO,ARROYO,-110.21183,23.39026,2019,5.64,33.29,10.0,733.0,3.0,,58.8,,,,1.0,1.0,,,,,Verde
64,DLBAJ85,MANANTIAL SAN JOSE DEL CABO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSE DEL CABO,SAN JOSE DEL CABO,LOTICO (HUMEDAL),ARROYO,-109.70028,23.09,2019,5.16,10.0,10.0,24196.0,1670.0,,81.7,,,,1.0,1.0,,,,,Amarillo
65,DLBAJ94,SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 3,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSE DEL CABO,HUMEDAL SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 3,LOTICO (HUMEDAL),ARROYO,-109.69102,23.05754,2019,36.1,43.69,41.25,24196.0,24196.0,,73.3,,,,1.0,1.0,,,,,Rojo
66,DLBAJ95,SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSE DEL CABO,HUMEDAL SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 2,LOTICO (HUMEDAL),ARROYO,-109.68738,23.05032,2019,6.6,29.81,14.0,4884.0,160.0,,63.9,,,,1.0,1.0,,,,,Amarillo
67,DLBAJ97,SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSE DEL CABO,HUMEDAL SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 1,LOTICO (HUMEDAL),ARROYO,-109.68059,23.04946,2019,7.82,153.14,15.0,6131.0,146.0,,77.6,,,,4.676,1.0,,,,,Rojo
68,DLCAM206,ISLA ARENA,PENINSULA DE YUCATAN,CAMPECHE,CALKINI,YUCATAN (RESTO DE RH 32),GOLFO DE MEXICO,COSTERO (HUMEDAL),OCEANO-MAR,-90.45546,20.69907,2019,,,10.0,3.0,,3.0,,44.3,,43.4,,,,,1.0,1.0,Verde
69,DLCAM207,RESERVA DE LA BIOSFERA LOS PETENES 3,PENINSULA DE YUCATAN,CAMPECHE,CALKINI,YUCATAN (RESTO DE RH 32),GOLFO DE MEXICO,COSTERO (HUMEDAL),MANGLAR,-90.50431,20.44502,2019,,,10.0,31.0,,3.0,,61.8,,61.3,,,,,1.0,1.0,Verde
70,DLCAM208,RESERVA DE LA BIOSFERA LOS PETENES 5,PENINSULA DE YUCATAN,CAMPECHE,CALKINI,YUCATAN (RESTO DE RH 32),GOLFO DE MEXICO,COSTERO (HUMEDAL),MANGLAR,-90.49591,20.33071,2019,,,10.0,3.0,,3.0,,55.4,,53.0,,,,,1.0,1.0,Verde
71,DLCAM209,RESERVA DE LA BIOSFERA LOS PETENES 4,PENINSULA DE YUCATAN,CAMPECHE,CALKINI,YUCATAN (RESTO DE RH 32),GOLFO DE MEXICO,COSTERO (HUMEDAL),MANGLAR,-90.49703,20.25984,2019,,,10.0,3.0,,3.0,,52.7,,52.4,,,,,1.0,1.0,Verde
72,DLCAM210,RESERVA DE LA BIOSFERA LOS PETENES 2,PENINSULA DE YUCATAN,CAMPECHE,TENABO,YUCATAN (RESTO DE RH 32),GOLFO DE MEXICO,COSTERO (HUMEDAL),MANGLAR,-90.4997,20.0496,2019,,,13.5,3.0,,3.0,,55.0,,54.6,,,,,1.0,1.0,Verde
73,DLCAM211,RESERVA DE LA BIOSFERA LOS PETENES 1,PENINSULA DE YUCATAN,CAMPECHE,CAMPECHE,RIO VERDE,GOLFO DE MEXICO,COSTERO (HUMEDAL),MANGLAR,-90.51683,19.87422,2019,,,11.5,10.0,,3.0,,58.2,,57.7,,,,,1.0,1.0,Verde
74,DLCAM222,MAR CAMPECHE 2,PENINSULA DE YUCATAN,CAMPECHE,CAMPECHE,CAMPECHE,GOLFO DE MEXICO,COSTERO,OCEANO-MAR,-90.59334,19.81477,2019,,,10.0,3.0,,3.0,,71.7,,71.2,,,,,1.0,1.0,Verde
