,CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,ENTEROC_NMP_100mL,OD_PORC,OD_PORC_SUP,OD_PORC_MED,OD_PORC_FON,TOX_D_48_UT,TOX_V_15_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_FON_15_UT,SEMAFORO
1399,OCBAL2845,PUENTE LA FUNDICION,BALSAS,MORELOS,JOJUTLA,RIO AMACUZAC,RIO AMACUZAC,LOTICO,RIO,-99.26756,18.54599,2019,2.0,30.9,10.0,8164.0,2187.0,,55.5,,,,1.0,1.0,,,,,Amarillo
1400,OCBAL2846,AMACUZAC,BALSAS,MORELOS,TLAQUILTENANGO,RIO AMACUZAC,RIO AMACUZAC,LOTICO,RIO,-99.17645,18.49248,2019,2.0,11.7,28.5,1266.0,228.0,,118.4,,,,1.0,1.0,,,,,Amarillo
1401,OCBAL2847,RIO CHALMA - TETECALA,BALSAS,MORELOS,TETECALA,RIO AMACUZAC,RIO CHALMA,LOTICO,RIO,-99.37758,18.70052,2019,2.0,28.42,10.0,1956.0,269.0,,101.4,,,,1.0,1.0,,,,,Amarillo
1402,OCBAL2848,TEMBEMBE - MAZATEPEC,BALSAS,MORELOS,PUENTE DE IXTLA,RIO AMACUZAC,RIO TEMBEMBE,LOTICO,RIO,-99.32616,18.64085,2019,2.0,22.57,10.0,5012.0,315.0,,61.3,,,,1.0,1.0,,,,,Amarillo
1403,OCBAL2849,COATETELCO (AL CENTRO LAGUNA),BALSAS,MORELOS,MIACATLAN,RIO AMACUZAC,LAGUNA COATETELCO,LENTICO (HUMEDAL),LAGO,-99.33588,18.74361,2019,2.0,55.98,60.0,3.0,3.0,,,85.8,,76.9,,,1.0,1.0,1.0,1.0,Rojo
1404,OCBAL2850,PRESA EL RODEO-OBRA DE TOMA,BALSAS,MORELOS,MIACATLAN,RIO AMACUZAC,RIO TEMBEMBE,LENTICO,PRESA,-99.32953,18.76496,2019,2.0,48.05,14.5,10.0,3.0,,,120.0,,,,,1.0,,1.0,1.0,Rojo
1405,OCBAL2851,APATLACO ARRIBA PTAR CHIPITLAN,BALSAS,MORELOS,CUERNAVACA,RIO AMACUZAC,RIO APATLACO,LOTICO A - Tipo 3,RIO,-99.22705,18.87183,2019,2.0,10.0,10.0,24196.0,24196.0,,102.4,,,,1.0,1.0,,,,,Amarillo
1406,OCBAL2853,RIO CHALMA COATLAN DEL RIO,BALSAS,MORELOS,COATLAN DEL RIO,RIO AMACUZAC,RIO CHALMA,LOTICO,RIO,-99.42401,18.73406,2019,2.0,23.41,11.5,24196.0,17329.0,,114.9,,,,1.0,1.0,,,,,Amarillo
1407,OCBAL2856,RIO TLAXIACO ABAJO PTAR,BALSAS,OAXACA,HEROICA CIUDAD DE TLAXIACO,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-97.69028,17.23999,2019,113.33,439.24,43.0,11000.0,2100.0,,21.2,,,,1.0,5.562,,,,,Rojo
1408,OCBAL2859,RIO SALADO-TEZOATLAN,BALSAS,OAXACA,HEROICA VILLA TEZOATLAN DE SEGURA Y LUNA,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-97.78835,17.66388,2019,2.0,21.43,10.0,2100.0,1500.0,,56.2,,,,1.0,1.0,,,,,Amarillo
1409,OCBAL2860,PRESA YOSOCUTA 1 (CORTINA),BALSAS,OAXACA,SAN MARCOS ARTEAGA,RIO MIXTECO,PRESA YOSOCUTA,LENTICO (HUMEDAL),PRESA,-97.82537,17.72424,2019,2.0,32.14,10.0,930.0,430.0,,,67.8,23.7,12.9,,,1.0,1.0,1.0,1.0,Amarillo
1410,OCBAL2861,PRESA YOSOCUTA 3 (CENTRO),BALSAS,OAXACA,SAN MARCOS ARTEAGA,RIO MIXTECO,PRESA YOSOCUTA,LENTICO (HUMEDAL),PRESA,-97.815,17.73132,2019,2.41,30.71,10.0,40.0,3.0,,,74.7,24.9,12.4,,,1.0,1.0,1.0,1.0,Amarillo
1411,OCBAL2862,VASO PRESA YOSOCUTA OBRA DE TOMA,BALSAS,OAXACA,SAN MARCOS ARTEAGA,RIO MIXTECO,RIO MIXTECO,LENTICO (HUMEDAL),PRESA,-97.81091,17.73188,2019,2.41,27.14,10.0,90.0,40.0,,,75.3,27.4,13.8,,,1.0,1.0,1.0,1.0,Amarillo
1412,OCBAL2863,PRESA YOSOCUTA 5 (S-E),BALSAS,OAXACA,SAN MARCOS ARTEAGA,RIO MIXTECO,PRESA YOSOCUTA,LENTICO (HUMEDAL),PRESA,-97.81839,17.74064,2019,17.5,46.07,10.0,3.0,3.0,,,68.1,,,,,1.0,,1.0,,Rojo
1413,OCBAL2864,PRESA YOSOCUTA 4 (INFLUENTE),BALSAS,OAXACA,SAN MARCOS ARTEAGA,RIO MIXTECO,PRESA YOSOCUTA,LENTICO (HUMEDAL),PRESA,-97.81324,17.73702,2019,5.67,57.14,91.0,11000.0,4600.0,,,63.5,,,,,1.0,,1.0,,Rojo
1414,OCBAL2865,RIO MIXTECO (ABAJO PTAR),BALSAS,OAXACA,HEROICA CIUDAD DE HUAJUAPAN DE LEON,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-97.78693,17.77557,2019,190.0,415.7,172.92,24000.0,24000.0,,26.7,,,,1.231,1.251,,,,,Rojo
1415,OCBAL2867,RIO COYCOYAN-CALIHUALA,BALSAS,OAXACA,CALIHUALA,RIO TLAPANECO,RIO COYCOYAN,LOTICO,RIO,-98.27802,17.52425,2019,2.0,18.57,10.0,2400.0,930.0,,59.7,,,,1.0,1.0,,,,,Amarillo
1416,OCBAL2869,RIO MIXTECO SAN FRANCISCO PAXTLAHUACA,BALSAS,OAXACA,SAN AGUSTIN ATENANGO,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-98.01239,17.58472,2019,2.0,25.36,10.0,4600.0,2100.0,,60.2,,,,1.0,1.0,,,,,Amarillo
1417,OCBAL2870,RIO MIXTECO ABAJO PTAR TAMAZULAPAN,BALSAS,OAXACA,VILLA DE TAMAZULAPAM DEL PROGRESO,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-97.57397,17.69014,2019,7.6,30.71,10.0,11000.0,4600.0,,33.1,,,,1.0,1.0,,,,,Amarillo
1418,OCBAL2871,PRESA CAYEHUACAN CORTINA,BALSAS,MORELOS,AXOCHIAPAN,RIO NEXAPA,PRESA CAYEHUACAN,LENTICO (HUMEDAL),PRESA,-98.71334,18.58528,2019,2.0,21.74,21.5,265.0,3.0,,,104.2,,,,,1.0,,1.0,1.0,Verde
1419,OCBAL2872,PRESA LOS CARROS OBRA DE TOMA,BALSAS,PUEBLA,TEPEXCO,RIO NEXAPA,PRESA LOS CARROS,LENTICO,PRESA,-98.70934,18.60751,2019,7.23,38.52,83.75,175.0,3.0,,,87.1,71.1,50.8,,,1.0,1.0,1.0,1.0,Verde
1420,OCBAL2873,PRESA ABREVADERO,BALSAS,MORELOS,JANTETELCO,RIO NEXAPA,PRESA ABREVADERO,LENTICO,PRESA,-98.7514,18.64657,2019,8.05,57.57,28.0,41.0,31.0,,,108.3,,89.4,,,1.0,1.0,1.0,1.0,Rojo
1421,OCBAL2874,RIO MIXTECO HUAJOLOTITLAN,BALSAS,OAXACA,SANTIAGO HUAJOLOTITLAN,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-97.72923,17.82461,2019,2.0,34.64,67.0,1500.0,750.0,,55.8,,,,1.0,1.0,,,,,Amarillo
1422,OCBAL2876,RIO MIXTECO - MARISCALA DE JUAREZ,BALSAS,OAXACA,MARISCALA DE JUAREZ,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-98.14861,17.86189,2019,2.0,17.14,10.0,930.0,430.0,,59.6,,,,1.0,1.0,,,,,Verde
1423,OCBAL5548,AGUAS ARRIBA DE LA DESCARGA DEL RASTRO,BALSAS,OAXACA,SAN MARCOS ARTEAGA,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-97.78362,17.78118,2019,3.22,25.71,163.41,430.0,150.0,,53.6,,,,1.0,1.0,,,,,Amarillo
1424,OCBAL5549,AGUAS DEBAJO DE LA DESCARGA DE LA PTAR.,BALSAS,OAXACA,SAN MARCOS ARTEAGA,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-97.78786,17.7746,2019,210.0,465.7,153.85,24000.0,24000.0,,14.5,,,,3.78,3.767,,,,,Rojo
1425,OCBAL5550,PTAR. SAPAHUA  ENTRADA,BALSAS,OAXACA,SAN MARCOS ARTEAGA,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-97.78668,17.7751,2019,370.0,959.82,360.0,24000.0,24000.0,,10.0,,,,2.082,6.562,,,,,Rojo
1426,OCBAL5551,PTAR. SAPAHUA  SALIDA,BALSAS,OAXACA,SAN MARCOS ARTEAGA,RIO MIXTECO,RIO MIXTECO,LOTICO,RIO,-97.78606,17.77572,2019,116.67,427.47,79.55,24000.0,24000.0,,36.7,,,,5.56,7.158,,,,,Rojo
1427,OCCCN5211M1,SARDINAS,CUENCAS CENTRALES DEL NORTE,DURANGO,SAN BERNARDO,PRESA LAZARO CARDENAS,RIO SEXTIN O DEL ORO,LOTICO (HUMEDAL),RIO,-105.57036,26.08415,2019,2.0,21.0,10.0,20.0,20.0,,97.1,,,,1.0,1.0,,,,,Verde
1428,OCCCN5212M1,PRESA LAZARO CARDENAS 1,CUENCAS CENTRALES DEL NORTE,DURANGO,INDE,PRESA LAZARO CARDENAS,PRESA LAZARO CARDENAS,LENTICO (HUMEDAL),PRESA,-105.10455,25.70145,2019,5.5,27.01,10.0,3.0,3.0,,,94.1,91.8,87.3,,,1.0,1.0,1.0,1.0,Verde
1429,OCCCN5213M1,PRESA LAZARO CARDENAS 2,CUENCAS CENTRALES DEL NORTE,DURANGO,INDE,PRESA LAZARO CARDENAS,PRESA LAZARO CARDENAS,LENTICO (HUMEDAL),PRESA,-105.04381,25.54661,2019,5.52,28.7,10.0,3.0,3.0,,,94.5,80.9,78.6,,,1.0,1.0,1.0,1.0,Verde
1430,OCCCN5214M1,PRESA LAZARO CARDENAS 3,CUENCAS CENTRALES DEL NORTE,DURANGO,INDE,PRESA LAZARO CARDENAS,PRESA LAZARO CARDENAS,LENTICO (HUMEDAL),PRESA,-105.05768,25.61493,2019,5.98,27.85,10.0,10.0,3.0,,,91.7,96.2,77.8,,,1.0,1.0,1.0,1.0,Verde
1431,OCCCN5215M1,EL PALMITO,CUENCAS CENTRALES DEL NORTE,DURANGO,INDE,AGUSTIN MELGAR,RIO NAZAS,LOTICO,RIO,-105.00235,25.59233,2019,2.0,13.44,10.0,479.0,3.0,,92.2,,,,1.0,1.0,,,,,Verde
1432,OCCCN5216M1,RODEO,CUENCAS CENTRALES DEL NORTE,DURANGO,RODEO,AGUSTIN MELGAR,RIO NAZAS,LOTICO,RIO,-104.52392,25.14719,2019,2.0,12.54,10.0,109.0,10.0,,98.7,,,,1.0,1.0,,,,,Verde
1433,OCCCN5223M1,AGUSTIN MELGAR,CUENCAS CENTRALES DEL NORTE,DURANGO,NAZAS,PRESA FRANCISCO ZARCO,RIO NAZAS,LOTICO,RIO,-104.06635,25.26358,2019,2.0,57.88,10.0,10.0,3.0,,94.2,,,,1.0,1.0,,,,,Rojo
